YMD,Y,M,D,date,Season,SeasonID,COVID_BKK_WM,COVID_BKK,PM2.5_BKK,PM10-BKK,WS-BKK,RH-BKK,AH-BKK,P_BKK,R_BKK,T-BKK,COVID_SSK_WM,COVID_SSK,PM2.5_SSK,PM10-SSK,WS-SSK,RH-SSK,AH-SSK,P_SSK,R_SSK,T-SSK,COVID_NKT_WM,COVID_NKT,PM2.5_NKT,PM10-NKT,WS-NKT,RH-NKT,AH-NKT,P_NKT,R_NKT,T-NKT,COVID_NBR_WM,COVID_NBR,PM2.5_NBR,PM10-NBR,WS-NBR,RH-NBR,AH-NBR,P_NBR,R_NBR,T-NBR,COVID_PTN_WM,COVID_PTN,PM2.5_PTN,PM10-PTN,WS-PTN,RH-PTN,AH-PTN,P_PTN,R_PTN,T-PTN,COVID_SPK_WM,COVID_SPK,PM2.5_SPK,PM10-SPK,WS-SPK,RH-SPK,AH-SPK,P_SPK,R_SPK,T-SPK
200116,2020,1,16,16/01/2020,WINTER,1,0,,37.5,69.36,0.63,70.97,20.57,754.98,0,29.15,0,0,28.04,44.54,0.72,73.58,20.82,756.21,0,28.71,0,,36.38,59.54,1.83,72.63,20.11,757.46,0,28.31,0,,41.04,66.44,0.3,77.83,21,752.88,0,27.85,0,,40.63,59.92,0.41,80.29,21.82,1009.46,0,27.98,0,,36.61,57.39,1.58,75.57,21.09,757.36,0,28.46
200209,2020,2,9,9/2/2020,WINTER,1,0,,39.41,71.59,0.71,59.14,17.5,756.69,0,29.53,0,0,42.96,67.46,0.46,64.25,18.39,757.54,0,28.92,0,,44.63,77.96,1.42,70.88,19.74,758.83,0,28.43,0,,45,69.04,0.42,63.54,17.73,759.83,0,28.45,0,,39.79,58.5,0.7,70,18.94,1011.75,0,27.9,0,,48.01,74.58,1.55,61,18.01,758.81,0,29.49
200105,2020,1,5,5/1/2020,WINTER,1,0,,39.67,68.93,0.71,48.76,14.42,755.69,0,29.52,0,0,60.96,95.63,0.72,54.71,15.17,756.63,0,28.34,0,,56,98.33,0.78,64.42,18.11,757.96,0,28.59,0,,39.1,64.86,0.54,50.59,14.04,759.29,0,28.36,0,,43.71,57.92,1.27,61.75,16.74,1010.29,0,27.93,0,,47.42,73.24,1.53,55.28,16.21,757.88,0,29.37
200210,2020,2,10,10/2/2020,WINTER,1,0,,42.5,79.66,0.91,44.22,13.13,756.46,0,29.6,0,0,53.67,92.79,0.59,51.42,14.47,757.42,0,28.61,0,,43.67,94.42,1.15,57.92,15.99,758.88,0,28.27,0,,46.29,74.78,0.52,46.08,12.91,761,0,28.53,0,,39.05,63.48,1.09,50.18,13.79,1011.64,0,28.17,0,,46.26,80.79,1.8,49.97,14.75,758.64,0,29.48
200111,2020,1,11,11/1/2020,WINTER,1,0,,43.09,76.88,0.59,73.01,21.62,753.25,0.4,29.54,0,0,59.33,86.25,0.62,72.29,21.13,754.46,0,29.31,0,,70.29,114.38,1.27,67.04,19.55,755.71,0,29.26,0,,50.44,72.03,0.28,73.71,20.91,753.71,0,28.76,0,,50.92,76.17,0.79,79.96,22.79,1007.33,0,28.84,0,,42.44,61.53,1.51,76.94,22.1,755.72,0,28.98
200227,2020,2,27,27/02/2020,SUMMER,2,0,,44.01,75.1,0.75,70.06,20.26,754.44,0,29.11,0,0,29.08,47.04,0.84,74.08,21.91,755.71,0,29.53,0,,41.83,70.83,1.92,69.42,20.33,756.67,0,29.35,0,,47.17,77.11,0.33,77.75,20.82,757.29,0,27.71,0,,47,69.42,0.77,79.88,22.02,1008.75,0,28.23,0,,41.85,63,1.71,71.61,20.67,756.72,0,29.08
200106,2020,1,6,6/1/2020,WINTER,1,0,,46.31,79.09,0.64,52.24,15.54,755.6,0,29.63,0,0,66.96,103.54,0.63,54.88,15.18,756.67,0,28.3,0,,56.96,106.25,0.8,63.33,18,758.08,0,28.8,0,,46.5,70.22,0.37,51.94,14.67,759.08,0,28.67,0,,42.46,61.42,0.82,66.54,17.84,1010.38,0,27.73,0,,49.89,76.62,1.21,58.99,17.17,757.86,0,29.23
200121,2020,1,21,21/01/2020,WINTER,1,0,,47.01,85.97,0.57,72.53,21.27,757.04,1.5,29.37,0,0,25.78,40.74,0.68,74.58,21.63,758.17,0,29.16,0,,40.75,61.29,1.86,76.13,21.41,759.42,0,28.6,0,,56.15,81.94,0.3,80.85,21.59,756.79,0,27.66,0,,56.21,83.04,0.69,79.58,22.05,1012.17,0,28.33,0,,44,65.14,1.44,77.81,22.02,759.33,0,28.72
200107,2020,1,7,7/1/2020,WINTER,1,0,,48.61,86.76,0.51,54.32,16.53,754.92,0,30.05,0,0,54.25,89.46,0.47,60.63,17.3,756.04,0,28.86,0,,52.75,92.67,0.87,61.92,17.56,757.46,0,28.75,0,,50.6,78.61,0.34,54.04,15.37,759.29,0,28.81,0,,58.83,80.63,0.94,59.54,16.69,1009.54,0,28.54,0,,56.14,82.31,0.82,63.85,18.9,757.28,0,29.54
200221,2020,2,21,21/02/2020,SUMMER,2,0,,50.06,79.47,1.15,36.92,11.08,758.21,0,29.79,0,0,63.5,105.67,1.43,43.08,12.38,759.17,0,29,0,,65.29,121.04,1.18,53.96,15.15,760.38,0,28.57,0,,56.06,75.79,0.73,39.79,11.22,761.75,0,28.65,0,,55.04,74.58,1.23,43.21,12.15,1013.71,0,28.6,0,,57.88,92.58,2.63,41.18,12.24,760.31,0,29.62
