YMD,Y,M,D,date,Season,SeasonID,COVID_BKK_WM,COVID_BKK,PM2.5_BKK,PM10-BKK,WS-BKK,RH-BKK,AH-BKK,P_BKK,R_BKK,T-BKK,COVID_SSK_WM,COVID_SSK,PM2.5_SSK,PM10-SSK,WS-SSK,RH-SSK,AH-SSK,P_SSK,R_SSK,T-SSK,COVID_NKT_WM,COVID_NKT,PM2.5_NKT,PM10-NKT,WS-NKT,RH-NKT,AH-NKT,P_NKT,R_NKT,T-NKT,COVID_NBR_WM,COVID_NBR,PM2.5_NBR,PM10-NBR,WS-NBR,RH-NBR,AH-NBR,P_NBR,R_NBR,T-NBR,COVID_PTN_WM,COVID_PTN,PM2.5_PTN,PM10-PTN,WS-PTN,RH-PTN,AH-PTN,P_PTN,R_PTN,T-PTN,COVID_SPK_WM,COVID_SPK,PM2.5_SPK,PM10-SPK,WS-SPK,RH-SPK,AH-SPK,P_SPK,R_SPK,T-SPK
200709,2020,7,9,9/7/2020,RAINY,3,2,2,10.32,20.46,0.93,63.63,21.26,750.65,0.2,31.78,0,0,8.5,26.54,0.93,71.79,23.35,754.54,0,31.28,0,,7.71,18,2.19,69.92,21.66,752.96,0,30.38,0,,9.04,19.44,0.48,66.96,20.03,0,0,29.73,0,,10,16.42,0.79,0,0,1004.17,0,0,1,1,11.26,19.78,1.97,67.97,21.9,753.17,0,31.1
200711,2020,7,11,11/7/2020,RAINY,3,2,2,10.32,21.78,1.23,60.46,20.06,750.83,0.3,31.66,0,0,10.38,29.67,1.1,69.17,22.46,754.54,0,31.25,0,,6.79,20.13,2.13,71.5,21.58,753.17,0.2,29.9,0,,8.31,21.92,0.61,62.88,18.24,0,0,29.16,0,,12.92,21.67,0.8,0,0,1004.21,0,0,11,11,14.36,25.26,1.87,65.96,20.92,753.15,0,30.81
201002,2020,10,2,2/10/2020,RAINY,3,2,2,10.83,21.98,0.73,78.61,22.25,750.71,39.5,28.72,0,0,13.79,31.54,0.79,81.46,23.26,755.08,7746,28.88,0,,5.88,15.58,1.73,82.25,22.41,752.88,4.4,28.02,0,,8,17.79,0.43,67.09,18.64,0,16.4,28.38,1,1,9.88,15.5,0.7,0,0,1004.04,45.6,0,1,1,15.29,27.64,1.26,80.99,22.32,752.83,13.4,28.23
200626,2020,6,26,26/06/2020,RAINY,3,2,2,10.96,19.52,1.06,73.15,21.63,751.31,5.27,29.52,0,0,13.38,41.04,0.99,73.06,21.49,754.79,4.8,29.43,0,,7.21,15.58,2.7,70.08,20.83,753.42,0.4,29.61,0,,8.73,17.67,0.69,71.22,19.67,0,0.2,28.27,0,,7.58,14.58,0.75,0,0,1004.67,0.2,29.15,2,2,12.6,22.29,1.98,76.85,22.1,753.74,9.57,29
200915,2020,9,15,15/09/2020,RAINY,3,2,2,11.72,21.5,0.69,81.17,22.68,752.1,19.75,28.48,0,0,13.33,27.92,0.7,80.63,22.8,754.79,0.6,28.7,0,,8.08,19.33,1.62,77.5,22.52,754.13,1.2,29.2,0,,9.23,18.4,0.39,79.1,22.97,0,0,29.19,0,,8.42,18.96,0.7,0,0,1006,10.2,0,1,1,12.86,23.69,1.61,81.85,22.87,754.31,13.27,28.48
200723,2020,7,23,23/07/2020,RAINY,3,2,2,11.74,21.01,0.62,73.46,22.22,751.69,10.85,29.94,0,0,13.63,27.38,0.7,70.95,22.17,754.67,0.2,30.53,0,,7.5,18.88,1.32,70.88,21.52,753.92,0,30,0,,11.23,23.9,0.45,83.63,20.93,0,15.8,26.49,0,,19.17,29.04,0.66,0,0,1005.5,34.4,0,0,,12.19,22.15,1.58,76.6,22.72,753.97,13.67,29.58
200813,2020,8,13,13/08/2020,RAINY,3,2,2,11.78,22.83,0.78,77.21,21.68,751.33,16.05,28.57,0,0,7.08,16.67,0.86,78.54,21.55,754.75,30,28.15,0,,6.54,16.21,1.88,83.42,21.69,753.54,14.6,27.18,0,,9.96,21.13,0,0,0,0,0,0,0,,10.58,19.54,0.76,0,0,1004.83,34.8,0,0,,13.94,24.39,1.7,79.42,21.82,753.57,4.93,28.18
200507,2020,5,7,7/5/2020,SUMMER,2,2,2,12.03,21.03,1.12,65.76,22.91,750.79,0,32.56,0,0,9.83,17.08,1.09,68.71,23.63,752.21,0,32.33,0,,12,32.92,3.24,70.75,23.75,753.29,0,31.87,0,,11.77,24.06,0.53,63.54,20.68,0,0,31.29,0,,14.71,31.88,0.9,68.54,23.95,1004.21,0,32.62,0,,13.4,24.72,2.73,71.79,23.67,753.47,0,31.54
200930,2020,9,30,30/09/2020,RAINY,3,2,2,12.23,25.65,0.96,69.64,21.01,750.92,0.05,29.89,0,0,15.5,37.92,0.9,69.17,19.27,754.75,0,28.43,0,,6.17,18.08,1.89,74.54,21.04,753.25,0,28.66,0,,8.31,18.35,0.51,67.94,19.71,0,0.8,29.17,0,,7,14.13,0.85,0,0,1004.67,1.8,0,2,2,16.74,30.43,1.42,73.15,21.4,753.26,0.07,29.32
201016,2020,10,16,16/10/2020,WINTER,1,2,2,12.42,25.36,0.66,86.63,22.94,750.02,30.45,27.51,0,0,18.29,37.17,0.44,94.96,23.64,754.96,2025,26.4,0,,8.25,16.21,1.23,94.13,22.29,752.29,67.4,25.5,0,,10.15,17.88,0.39,77.67,19.71,0,65.4,26.74,0,,10.08,15.33,0.75,0,0,1003.25,51,0,0,,16.29,29.03,1.09,95.75,22.85,752.08,56.4,25.64
200503,2020,5,3,3/5/2020,SUMMER,2,2,2,12.86,22.07,1.01,63.94,22.09,751.77,0,32.41,0,0,12.08,23,0.93,64.33,21.82,753.21,0,32.07,0,,15.54,30.29,2.51,64.58,21.8,754.21,0,31.97,0,,13.67,25.48,0.47,65.58,20.22,0,0,30.29,0,,15.88,33.71,0.72,69.88,23.64,1005.5,0.4,32.01,0,,15.38,26.43,2.28,69.85,22.85,754.43,0,31.38
200725,2020,7,25,25/07/2020,RAINY,3,2,2,13.24,25.04,0.52,81.85,22.39,751.79,16.55,28.1,0,0,2.83,8.29,0.97,84.08,24.66,754.71,55.2,29.37,0,,8.42,17.67,1.13,61.71,18.18,752.71,4.2,29.45,0,,10.52,22.32,0.47,84.85,20.5,0,0,25.86,0,,12.83,22.92,0.83,0,0,1005.33,0.2,0,0,,12.86,23.42,1.48,76.18,22,751.82,0.13,29.09
200824,2020,8,24,24/08/2020,RAINY,3,2,2,13.55,27.07,1.13,60.4,19.26,752.58,0,30.91,0,0,13.04,29.17,0.69,63.79,19.5,754.67,0.2,30.13,0,,9.58,21.33,2.04,67.83,20.42,754.96,0,29.85,0,,11.31,24.92,0.55,67.42,21.29,0,0,30.73,0,,11.46,21.42,1.03,0,0,1006.75,0,0,0,,16.64,30.29,1.53,65.04,20.05,755,0,30.28
200718,2020,7,18,18/07/2020,RAINY,3,2,2,14.16,25.25,0.63,67.96,21.6,751.54,1.45,30.85,0,0,15.25,22.25,0.78,75.38,24.4,754.54,0.4,31.19,0,,8.75,22.83,1.6,71.42,22.07,753.83,0,30.33,0,,10.15,25.81,0.41,78.25,21.52,0,2.4,28.2,0,,10.33,19.04,0.59,0,0,1005.21,0,0,4,4,15.63,30.5,1.23,69.26,21.88,753.88,0.33,30.74
200529,2020,5,29,29/05/2020,RAINY,3,2,2,14.25,25.47,0.87,69.61,21.3,752.9,20.51,30.14,0,0,9.96,19.13,1,76.92,25.27,754.67,13.6,31.47,0,,6.92,16.67,2.5,78.21,22.31,755.17,5,28.86,0,,9.96,25.15,0.5,78.79,20.5,750.54,11.8,27.19,0,,13.17,21.79,0.49,85.63,24.75,1006.71,0.8,29.1,9,9,17.35,31.06,1.73,74.27,22.33,755.46,19.7,29.82
201011,2020,10,11,11/10/2020,RAINY,3,2,2,14.89,28.86,0.75,86.54,21.72,750.63,1,26.54,0,0,19.42,34.38,0.67,90.96,21.8,754.92,2679,25.72,0,,9.5,22.79,1.46,90.58,21.22,753.13,1.2,25.31,0,,14.13,28.33,0.48,95.13,22.73,0,7,25.65,0,,12.46,22.13,0.57,0,0,1004.17,2.8,0,0,,16.17,29.75,1.35,89.19,21.53,752.74,2.2,25.84
200307,2020,3,7,7/3/2020,SUMMER,2,2,2,14.96,27.97,1.01,67.47,20.68,754.96,0,30.18,0,0,8.67,18.04,1.08,67.75,20.56,756.13,0,30,0,,14.08,29.96,2.85,72.71,21.47,757.13,0,29.49,0,,15.54,31.89,0.5,68.77,20.32,757.96,0,29.5,0,,21.5,37.21,1.17,74.79,22.22,1009.5,0,29.6,0,,17.95,29.64,2.25,73.33,21.47,757.42,0,29.34
200521,2020,5,21,21/05/2020,RAINY,3,2,2,15.22,25.03,0.87,61.71,21.45,750.96,0,32.53,0,0,12.33,21.04,0.91,67.75,25.25,754.67,0,33.84,0,,12.21,24,2.53,69.79,22.58,753.54,0.2,31.18,0,,15.77,29.69,0.57,63.13,19.78,746.33,0,30.59,0,,19.58,34.33,0.75,70.92,23.79,1004.33,0,31.85,0,,17,28.68,1.76,68.5,22.75,753.79,0,31.67
201031,2020,10,31,31/10/2020,WINTER,1,2,2,16.15,30.24,0.39,83.33,22.83,754.29,19.1,28.12,0,0,24.17,55.04,0.52,86.58,24.04,754.88,4426,28.37,0,,16.58,31.46,0.85,91.83,23.66,756.58,6.2,27.01,0,,15.4,27.27,0.4,0,0,0,3.2,0,0,,15.08,23.46,0.44,0,0,1008.96,30,0,0,,19.38,34.25,0.94,86.53,22.8,756.39,5,27.41
200722,2020,7,22,22/07/2020,RAINY,3,2,2,16.18,28.39,0.49,80.04,22.61,751.83,0.25,28.68,0,0,19.35,28.3,0.58,79.67,22.46,754.79,2,28.65,0,,10.04,23.75,2.39,77.83,22.09,753.96,0,28.77,0,,14.15,30.66,0.38,82.92,20.07,0,14.6,25.89,0,,15.71,25.83,0.46,0,0,1005.54,5.4,0,0,,16.34,30.56,1.24,82.4,23.07,754.03,5.83,28.52
201006,2020,10,6,6/10/2020,RAINY,3,2,2,16.83,32.18,0.82,78.94,22.6,752.04,4.4,28.93,0,0,16.88,31.17,0.74,82.38,21.57,754.96,5245,27.3,0,,9.13,21.83,1.35,84.17,22.92,754.38,21.8,28.02,2,2,14.98,27.75,0.48,89.52,24.54,0,1.6,28.13,0,,15.67,25.54,0.85,0,0,1005.96,0,0,2,2,17.01,32.14,1.15,87.28,22.91,754.28,35.13,27.35
201029,2020,10,29,29/10/2020,WINTER,1,2,2,17.61,31.96,1.15,76.75,20.51,751.69,6,27.67,0,0,22.54,43.33,0.88,80.29,20.79,754.71,2511,27.1,0,,13.5,25.79,1.53,87,21.3,753.96,10.2,26.1,1,1,14.04,25.27,0.52,0,0,0,25.8,0,0,,16.17,24.21,1.13,0,0,1005.33,6.8,0,0,,22.82,39.32,1.62,79.44,20.42,753.69,1.07,26.97
201102,2020,11,2,2/11/2020,WINTER,1,2,2,21.36,41.19,0.74,65.89,20.24,754.52,0,30.22,0,0,30.54,70.75,0.58,73.17,21.35,754.63,0,29.27,0,,20.04,42.83,1.22,79.17,22.66,756.96,0.2,28.92,0,,19.46,38.77,0.46,0,0,0,0,0,0,,17.83,28.42,0.81,0,0,1009.21,0,0,1,1,24.25,43.53,1.42,68.43,20.44,756.69,0,29.7
200425,2020,4,25,25/04/2020,SUMMER,2,2,2,21.92,33.34,0.78,76.89,21.56,754.4,16.93,28.55,0,0,22.71,37.5,0.64,81.88,22.11,755.46,26,27.86,0,,17.92,30.92,1.53,81.46,22.2,756.5,1.8,28.03,0,,21.63,40.67,0.48,84.63,20.13,0,15.8,25.58,0,,23.87,41.52,0.8,88.74,22.91,1008.43,47.6,27.05,0,,24.74,38.69,1.26,79.01,21.77,756.4,15.8,28.23
201112,2020,11,12,12/11/2020,WINTER,1,2,2,23.19,38.72,0.96,68.53,16.32,756.04,0.05,25.6,0,0,38.71,74.96,0.52,75.29,16.96,754.83,0.4,24.61,0,,20.63,32.71,2.39,79,17.16,758.21,0.4,23.97,0,,23.27,36.88,0.55,0,0,0,0,0,0,,21.95,29.1,1.58,0,0,1010.74,0,0,1,1,25.89,43.61,1.54,71.92,16.7,757.9,0.07,25.15
201106,2020,11,6,6/11/2020,WINTER,1,2,2,23.98,41.32,0.72,59.78,17.83,754.88,1.9,29.67,0,0,46.67,88.58,0.46,70.25,19.73,754.54,0,28.58,0,,28.33,48.96,1.35,75.92,21.12,757.17,0.2,28.4,2,2,25.91,40.54,0.45,0,0,0,10,0,0,,22.9,38.67,0.84,0,0,1009.67,0,0,0,,26.81,46.35,1.38,61.46,18.16,756.96,0,29.51
201117,2020,11,17,17/11/2020,WINTER,1,2,2,27.81,50.11,0.5,59.25,17.97,753.52,0,29.99,0,0,62.88,133.92,0.43,66.04,19.27,754.5,0,29.27,0,,32.71,58.54,1.09,72.54,20.49,756,0,28.68,0,,24.79,45.15,0,0,0,0,0,0,0,,26.63,35.04,0.57,0,0,1008.04,0,0,0,,36.64,58.75,0.87,66.6,19.75,755.82,3.8,29.57
201118,2020,11,18,18/11/2020,WINTER,1,2,2,28.26,51.17,0.58,60.27,18.8,752.84,0,30.5,0,0,59.13,115.42,0.45,67.71,19.92,754.5,0,29.43,0,,34.21,61.63,0.77,71.21,20.99,755.38,0,29.46,0,,31.46,51.47,0,0,0,0,0,0,0,,30.5,43.54,0.5,0,0,1007.13,0,0,0,,35.82,60.6,0.81,65.24,20.26,755.13,0,30.43
200310,2020,3,10,10/3/2020,SUMMER,2,2,2,28.66,43.42,0.92,65.81,21.08,751.58,0,31,0,0,24.88,34.71,0.82,65.42,20.01,753,0,30.15,0,,40.29,70.13,2.69,66.33,20.6,754,0,30.43,0,,33.15,51.67,0.43,62.79,19.65,749.21,0,30.56,0,,35.71,62.88,1.13,66.75,21.01,1005.08,0,30.68,0,,28.57,41.38,2.19,74.15,22.24,754.14,0,29.78
201110,2020,11,10,10/11/2020,WINTER,1,2,2,32.05,53.3,0.91,47.99,13.74,754.48,0,28.93,0,0,53.17,105,0.43,58.42,15.54,754.54,0,27.58,0,,31.92,58.25,2.12,62.79,16.18,756.88,0,27.01,2,2,30.4,51.83,0.55,0,0,0,0,0,0,,32.17,48.07,1.22,0,0,1009.08,0,0,0,,33.92,58.08,1.63,52.19,14.56,756.53,0.13,28.45
200427,2020,4,27,27/04/2020,SUMMER,2,2,2,34.89,51.23,0.7,67.49,19.86,755.15,0.26,29.43,0,0,42.79,61.63,0.65,77.5,20.92,756.13,10.6,27.85,0,,36.1,54.8,1.36,74.75,21.61,757.42,8.2,29.1,0,,32.19,52.65,0.5,73.54,18.88,754.38,3.6,26.94,0,,35.46,48.13,0.76,81.71,23.18,1009.75,0,28.76,0,,38.44,55.13,1.14,76.07,21.62,757.29,6.47,28.8
200226,2020,2,26,26/02/2020,SUMMER,2,2,2,44.35,71.8,0.78,67.69,20.2,754.88,0,29.69,0,0,30.58,49.17,0.92,71.08,20.32,756.13,0,28.9,0,,38.17,60.79,2.29,73,20.39,757.25,0,28.48,1,1,46.04,72.31,0.33,70.19,19.91,756.92,0,28.76,0,,48.58,70.38,0.78,75.21,21.41,1009.33,0,28.83,0,,42.97,63.32,1.82,74.81,21.1,757.25,0,28.66
201211,2020,12,11,11/12/2020,WINTER,1,2,2,48.31,75.4,0.95,49.93,13.83,754.25,0.05,28.32,0,0,67.88,127.29,0.91,56.58,15.58,754.63,0.2,28.21,0,,46.58,84.75,1.48,63.79,15.62,756.79,0,26.1,1,1,46.21,76.83,0,0,0,0,0,0,0,,47.5,59.88,1.21,0,0,1008.71,0,0,3,3,52.57,81.15,1.3,54.04,15.13,756.32,0,28.52
200225,2020,2,25,25/02/2020,SUMMER,2,2,2,66.76,100.01,0.79,64.1,18.83,754.77,0,29.4,0,0,46.79,64.79,0.8,68.42,19.19,755.88,0,28.55,0,,57.63,93.83,2.28,70.13,19.23,757.21,0,28.14,0,,66.73,98.99,0.33,61.54,17.32,759.63,0,28.61,0,,73.52,105.29,0.78,61.88,17.39,1009.33,0,28.59,0,,67,86.35,1.78,74.01,20.45,757.13,0,28.28
200919,2020,9,19,19/09/2020,RAINY,3,3,3,8.06,15.66,1.11,86.99,22.8,747.77,3.45,27.32,0,0,4.38,11.33,1.35,86.92,21.75,754.88,6.4,26.49,0,,3.41,7.17,3.11,89.38,22.08,749.71,3.6,26.26,0,,5.06,12.88,0.46,94.73,24.05,0,5.6,26.75,0,,7.48,25.78,0.62,0,0,1000.17,4.4,0,0,,10.1,19.25,2.83,84.74,22.15,750.14,4.13,27.27
200809,2020,8,9,9/8/2020,RAINY,3,3,3,8.59,17.36,0.92,73,22.66,749.94,0.05,30.41,0,0,4.79,9.63,1.07,75.33,22.53,754.92,0,29.73,0,,4.17,12.88,2.33,75.54,22.34,752.29,0,29.52,0,,7.58,16.26,0.59,63.13,17.31,0,0,28.14,0,,14.08,26.46,0.67,0,0,1003.25,0,0,0,,11.79,19.86,2.36,74.08,22.36,752.46,0,29.9
201009,2020,10,9,9/10/2020,RAINY,3,3,3,9.33,18.92,0.86,89.36,21.69,751.1,7.1,25.94,0,0,20.38,35.17,0.63,96.21,22.12,755,1457,24.98,0,,7.88,16.92,2.21,94.75,21.33,753.58,5.4,24.6,0,,10.35,16.93,0.47,94.5,21.83,0,62,25.05,1,1,8.13,13.58,1.15,0,0,1004.67,18.8,0,0,,12.96,24.86,1.66,91.72,21.72,753.06,6.33,25.5
201008,2020,10,8,8/10/2020,RAINY,3,3,3,10.56,21.6,1.39,81.31,20.77,750.58,8.75,26.86,0,0,17.21,33.29,0.73,88.92,21.34,754.88,1759,25.74,0,,8.96,16.63,2.29,88.92,20.96,753,15.4,25.42,0,,9.15,18.94,0.93,89.53,21.58,0,11.2,25.81,0,,9.42,15.96,2.2,0,0,1004.08,11,0,0,,13.03,26.29,2.06,84.68,20.79,752.57,17.2,26.14
201010,2020,10,10,10/10/2020,RAINY,3,3,3,12.25,24.1,0.74,86.67,20.96,751.35,7.85,25.88,0,0,19.92,36.42,0.68,90.38,20.55,754.92,2397,24.78,0,,7.29,15.67,2.24,89.29,20.12,753.79,15.6,24.61,2,2,10.35,19.83,0.62,89,21.22,0,9,25.62,0,,7.67,14.58,1.54,0,0,1004.88,2.6,0,1,1,14.79,27.54,1.34,92.89,21.09,753.36,36.33,24.75
200828,2020,8,28,28/08/2020,RAINY,3,3,3,12.53,25.38,1.66,66.33,19.68,749.65,15.35,29.58,0,0,13.08,31.96,1.62,62.04,19.47,754.63,0.2,30.61,0,,6.79,18.63,3,64.21,19.58,752.08,0,30.09,0,,9.94,19.85,0.72,68.9,20.31,0,2.6,29.46,0,,12.08,22.13,1.13,0,0,1002.75,19.8,0,2,2,16.62,32.1,2.2,71.51,20.76,752.03,11,29.18
200502,2020,5,2,2/5/2020,SUMMER,2,3,3,13.91,23.11,0.86,60.44,20.46,751.83,0,32.02,0,0,14.46,24.58,0.95,63.83,21.36,753.21,0,31.81,0,,16.42,32.21,2,68.08,21.81,754.25,0,31,0,,13.98,26.46,0.5,66.04,19.75,633,0,29.73,0,,20.58,32.71,0.64,72.67,23.4,1005.67,0,31.09,0,,15.14,26.17,2.18,66.11,21.31,754.43,0,31.12
201005,2020,10,5,5/10/2020,RAINY,3,3,3,14.41,28.04,0.7,72.74,21.79,751.96,15.2,29.76,0,0,14,31.25,0.69,74.67,21.41,754.58,5524,28.95,0,,14,31.67,1.1,80.38,22.83,754.25,0.2,28.78,0,,13.6,25.48,0.4,82.31,23.35,0,1.4,28.76,0,,14.79,22.54,0.55,0,0,1006,4.2,0,1,1,16.9,30.1,1.19,79.47,22.49,754.18,16.67,28.72
201101,2020,11,1,1/11/2020,WINTER,1,3,3,15.32,30.32,0.73,80.4,22.1,754.6,0.05,28.18,0,0,18.58,49.71,0.68,81.88,22.7,754.71,0,28.34,0,,12.13,31.88,1.15,85.29,22.57,756.75,0,27.49,1,1,12.35,28.06,0.45,0,0,0,0,0,0,,11.33,19,0.66,0,0,1009.21,0.2,0,0,,18.1,34.79,1.35,81.78,21.74,756.58,0,27.58
210302,2021,3,2,2/3/2021,SUMMER,2,3,3,15.66,25.32,1.07,52.18,15.68,754.5,0,29.81,24,24,11.13,19.21,0.95,71.08,20.46,754.58,0,29.02,1,1,15.38,28.92,2.97,73.38,21.25,756.63,0,29.14,1,1,12.48,28.81,1.19,59.83,18.99,754.92,0,30.83,8,8,18.71,29.96,0.63,0,0,1009.13,0,0,1,1,14.53,29.96,2.19,75.74,21.65,756.78,0,28.9
200422,2020,4,22,22/04/2020,SUMMER,2,3,3,16.35,26.17,1.15,60.71,21.39,752.38,0,32.77,0,0,13.83,20,1.07,61.88,21.43,753.71,0,32.45,1,1,22.96,38.33,2.85,65.5,22.05,754.79,0,31.93,0,,16.9,27.46,0.52,60.58,19.73,0,0,31.3,1,1,18.63,30.42,0.94,65.75,23.3,1006.21,0,32.89,0,,18.61,29.46,2.66,67.08,22.28,754.94,0,31.67
200818,2020,8,18,18/08/2020,RAINY,3,3,3,17.83,38.66,1.1,61.01,19.42,750.69,0.05,30.88,0,0,16.42,37,0.99,65,18.92,754.71,0,29.23,0,,13.04,30.54,1.84,69.13,20.49,753.21,0,29.57,0,,15.4,35.25,0.59,68.88,21.49,0,0,30.51,0,,18,31.63,1.05,0,0,1004.38,0,0,0,,19.93,41.81,1.68,65.79,20.28,753.17,0,30.28
201107,2020,11,7,7/11/2020,WINTER,1,3,3,18.53,32.42,0.89,66.26,18.28,755.48,0.35,28.25,0,0,32.83,63.75,0.59,76.79,20.25,754.88,0.4,27.43,0,,22.67,41.04,1.6,76.33,20.22,757.75,0.8,27.51,2,2,17.77,29.73,0.45,0,0,0,0,0,0,,20.71,31.33,0.74,0,0,1010.5,0,0,0,,22.22,38.08,1.94,70.08,18.64,757.54,0,27.59
201122,2020,11,22,22/11/2020,WINTER,1,3,3,19.83,32.07,0.55,81.48,22.16,754.56,3.25,27.99,0,0,25.58,56.5,0.46,84.75,24.33,754.71,14.6,28.97,0,,13.08,30.46,1.01,86.75,22.79,756.88,3.8,27.36,0,,15.69,29.8,0,0,0,0,0,0,0,,20.42,29.42,0.76,0,0,1009.13,28,0,5,5,24.25,40.19,0.81,84.06,22.72,756.61,1.4,27.88
200313,2020,3,13,13/03/2020,SUMMER,2,3,3,20.06,33.2,1.11,66.38,21.66,754.56,0,31.35,0,0,14.21,24.08,1.1,70.08,21.68,755.88,0,30.35,0,,18.83,36.92,3.11,74.5,23.14,756.96,0,30.43,0,,20.56,36.19,0.55,66.54,21.3,756.13,0,30.98,0,,23.42,45.5,0.95,70.58,23.17,1009,0,31.45,0,,20.72,32.94,2.47,73.54,22.54,757.13,0,30.18
201128,2020,11,28,28/11/2020,WINTER,1,3,3,20.3,43.17,0.94,51.86,15.05,755.63,0,29.18,0,0,43.25,96.5,0.61,60.54,17.09,754.5,0,28.67,0,,21.38,47.33,1.92,63.92,17.35,758.13,0,27.96,0,,21.02,45.29,0,0,0,0,0,0,0,,20.42,35.33,1.01,0,0,1010.83,0,0,1,1,20.28,42.26,2.17,54.38,15.88,757.74,0,29.29
201125,2020,11,25,25/11/2020,WINTER,1,3,3,20.44,39.14,0.71,58.89,17.54,754.31,0,29.65,0,0,45.08,104,0.32,67.79,19.41,754.5,0,28.93,0,,23.5,47.88,1.49,73.83,20.7,756.67,0,28.54,0,,19.95,41.06,0,0,0,0,0,0,0,,17.04,32.67,0.76,0,0,1009,0,0,1,1,22.22,47.11,1.62,62.18,18.58,756.46,0,29.71
200430,2020,4,30,30/04/2020,SUMMER,2,3,3,23.93,35.57,0.67,70.14,21.93,753.67,6.1,30.55,0,0,19.33,32,0.84,71.13,23.56,754.92,0,31.62,0,,19.29,35.04,1.85,69.71,22.14,756.04,0,30.84,0,,22.17,40.54,0.45,72.5,20.36,754.71,0,28.58,0,,24.08,38.63,0.75,73.29,23.08,1007.83,0,30.68,0,,24.96,40.47,1.61,72.63,22.37,756.1,2.53,30.27
201027,2020,10,27,27/10/2020,WINTER,1,3,3,27.52,48.53,0.71,65.07,18.28,752.63,0,28.58,0,0,40.88,73.17,0.57,73.04,20.09,754.5,3896,28.19,0,,22.5,43.08,1.24,80.46,20.59,754.88,0,26.89,0,,24.02,45.44,0.45,0,0,0,0,0,0,,22.75,33.63,0.72,0,0,1006.71,0,0,0,,30.31,56.47,1.25,69.43,19.07,754.61,0,28.17
201123,2020,11,23,23/11/2020,WINTER,1,3,3,28.08,49.11,0.6,75.6,21.16,754.77,10.25,28.52,0,0,48.04,94.71,0.49,78.71,21.61,754.54,26.2,28.16,0,,21.92,45.21,1.17,79.33,22.28,757.08,0,28.58,0,,25.83,46.08,0,0,0,0,0,0,0,,23.54,34.5,0.76,0,0,1009.33,0,0,1,1,31.04,52.74,0.95,77.69,21.92,756.82,2.93,28.66
201111,2020,11,11,11/11/2020,WINTER,1,3,3,28.19,50.98,1.72,53.57,13.56,755.73,0,26.69,0,0,37.67,80.04,1.07,62.75,15.2,754.5,0.2,25.9,0,,23.5,43.33,2.78,72.5,16.43,758.04,0,24.72,0,,25.46,46.58,1.32,0,0,0,0,0,0,,26.29,38.88,2.54,0,0,1010.79,0,0,0,,31.15,56.44,2.18,56.11,14.18,757.54,0,26.66
200428,2020,4,28,28/04/2020,SUMMER,2,3,3,28.22,42.19,0.78,60.35,19.02,754.33,0,30.7,0,0,35.21,54.75,0.48,65.08,19.79,755.42,0,30.03,0,,25.63,40.04,1.88,65.92,20.62,756.71,0.2,30.55,0,,25.05,42.48,0.55,63.63,17.59,757.25,0,28.28,0,,24.25,37.75,0.81,68.67,20.9,1008.67,0,30.05,0,,32.93,50.11,1.55,64.86,20.4,756.54,0.13,30.65
210216,2021,2,16,16/02/2021,SUMMER,2,3,3,28.89,48.64,1,69.79,19.8,753.56,0,28.76,16,16,22.92,48.25,1.02,71.29,19.96,754.54,0,28.52,1,1,22.79,41.58,3.04,74.13,20.28,755.58,0,28.1,0,,24.17,51.74,1.38,61.46,18.24,754.29,0,29.58,48,48,32.67,48.79,0.9,0,0,1007.96,0,0,2,2,25.85,45.63,2.2,74.65,20.44,755.82,0.13,28.11
201109,2020,11,9,9/11/2020,WINTER,1,3,3,30.56,49.82,1.03,51.71,14.94,755,0,29.09,0,0,40.79,76.48,0.71,60.79,17.15,754.5,0.2,28.65,0,,28.83,50.63,2.23,62.83,17.15,757.33,0,28.05,0,,29.1,46,0.58,0,0,0,0,0,0,,30.83,38.38,1.12,0,0,1010,0,0,0,,32.88,53.78,2.13,54.96,15.51,757.1,0.07,28.67
200429,2020,4,29,29/04/2020,SUMMER,2,3,3,31.03,44.02,0.8,69.42,21.14,753.52,22.13,30.06,0,0,30.79,42.63,0.92,70.71,22.64,754.58,0,30.99,0,,33.38,47.25,1.86,68.63,21.27,755.71,0,30.38,0,,30.58,49.38,0.52,76.92,19.85,755.5,17.2,27.04,0,,34.25,47.13,0.71,81.13,23.57,1007.54,1,29.19,2,2,32.93,48.88,1.72,70.54,21.93,755.69,0.47,30.44
200208,2020,2,8,8/2/2020,WINTER,1,3,3,33.94,61.43,0.63,69.07,20.51,756.06,0,29.6,0,0,24.71,39.67,0.72,70.25,20.06,757.21,0,28.88,0,,34.13,57.96,1.91,73.21,20.59,758.38,0,28.6,0,,41,65.49,0.29,71.52,20.14,758.54,0,28.63,0,,39.17,65,0.81,78.83,21.59,1011,0,28.12,2,2,35.51,52.15,1.56,75.35,21.09,758.56,0,28.52
201119,2020,11,19,19/11/2020,WINTER,1,3,3,35.95,61.08,0.57,58.12,18.78,752.23,0,31.15,0,0,55.71,100.46,0.51,66.04,20.35,754.5,0,30.28,0,,37.79,66.46,0.75,71.21,21.61,754.83,0,30,0,,37.15,58.74,0,0,0,0,0,0,0,,30.29,42.67,0.46,0,0,1006.38,0,0,5,5,46.88,74.75,0.93,68.32,21.13,754.61,0,30.34
